%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=211614, 2015/01/29 11:7:53.15)
1 10 1.286025e+00 0 0 1.256399e+00 4.990064e-01 2.552647e-02 8.331744e-03 8.086134e-03 4.236372e-03 
2 19 1.238519e+00 0 0 1.202284e+00 4.661814e-01 2.514131e-02 7.759739e-03 7.688072e-03 4.072611e-03 
3 28 1.038689e+00 0 0 9.779002e-01 3.797999e-01 2.055991e-02 6.330327e-03 6.320606e-03 3.380382e-03 
4 37 9.584484e-01 0 0 8.768635e-01 3.464040e-01 1.843324e-02 5.953379e-03 5.959438e-03 3.023015e-03 
5 46 7.757533e-01 0 0 6.888600e-01 2.715798e-01 1.471342e-02 4.855584e-03 4.720612e-03 2.383987e-03 
6 55 7.029530e-01 0 0 6.096571e-01 2.393425e-01 1.298280e-02 4.293641e-03 4.440980e-03 2.103479e-03 
7 64 6.321887e-01 0 0 5.304331e-01 2.082111e-01 1.141956e-02 3.784828e-03 4.016904e-03 1.840651e-03 
8 73 5.974619e-01 0 0 4.866268e-01 1.901579e-01 1.113372e-02 3.595353e-03 3.720145e-03 1.717462e-03 
9 82 5.720197e-01 0 0 4.587851e-01 1.813460e-01 1.045241e-02 3.505415e-03 3.485964e-03 1.661338e-03 
10 91 4.958241e-01 0 0 3.878074e-01 1.521420e-01 8.868030e-03 2.980332e-03 2.932358e-03 1.420267e-03 
11 100 4.399851e-01 0 0 3.329089e-01 1.318318e-01 7.797973e-03 2.637994e-03 2.522086e-03 1.246352e-03 
12 109 3.729773e-01 0 0 2.727860e-01 1.085748e-01 6.427220e-03 2.207316e-03 2.082161e-03 1.029901e-03 
13 118 3.335919e-01 0 0 2.385537e-01 9.540682e-02 5.592119e-03 1.946941e-03 1.859710e-03 9.014153e-04 
14 127 3.778503e-01 0 0 2.625647e-01 1.049422e-01 6.368092e-03 2.510723e-03 2.150802e-03 1.026774e-03 
15 136 4.213232e-01 0 0 2.835597e-01 1.163109e-01 6.916471e-03 3.026016e-03 2.475475e-03 1.126145e-03 
16 145 4.649602e-01 0 0 3.056494e-01 1.296675e-01 7.750030e-03 3.716537e-03 2.737611e-03 1.218598e-03 
17 154 5.149380e-01 0 0 3.363984e-01 1.400597e-01 9.254961e-03 4.227603e-03 3.101559e-03 1.305288e-03 
18 163 4.729484e-01 0 0 2.996665e-01 1.245443e-01 8.300697e-03 3.805654e-03 2.810184e-03 1.167007e-03 
19 172 4.451314e-01 0 0 2.737274e-01 1.135223e-01 7.641728e-03 3.489456e-03 2.578265e-03 1.147430e-03 
20 181 4.056250e-01 0 0 2.414111e-01 1.007153e-01 6.828203e-03 3.168781e-03 2.328585e-03 1.032100e-03 
