%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=211614, 2015/01/29 11:7:53.15)
1 10 1.286025e+00 2.979734e+02  3.509069023653864638e-01  3.509069023653864638e-01  3.928203761577606090e-01  6.638210557401180711e-01
2 19 1.238519e+00 2.974242e+02  3.509069023653864638e-01  3.703809775412082450e-01  4.549933802336454391e-01  5.856903031468391196e-01
3 28 1.038689e+00 2.916514e+02  3.509069023653864638e-01  3.548199679702520593e-01  4.551691342145204322e-01  4.721305202692747116e-01
4 37 9.584484e-01 2.922142e+02  3.509069023653864638e-01  3.717004138976335303e-01  4.025961935520172008e-01  5.218246176838874373e-01
5 46 7.757533e-01 2.909472e+02  3.509069023653864638e-01  3.527015615254640579e-01  3.907635241746902355e-01  4.909791741520166397e-01
6 55 7.029530e-01 2.911030e+02  3.461683500558138116e-01  3.461683500558138116e-01  3.880894970148801582e-01  4.340413954108953698e-01
7 64 6.321887e-01 2.896458e+02  3.461683500558138116e-01  3.500310245901346318e-01  3.941657308489084355e-01  4.465304158627986797e-01
8 73 5.974619e-01 2.857203e+02  3.461683500558138116e-01  3.501209314912557824e-01  3.668530073016881832e-01  3.873307362198829540e-01
9 82 5.720197e-01 2.810594e+02  3.461683500558138116e-01  3.718486275523901208e-01  3.765245590358972660e-01  4.107911534607410209e-01
10 91 4.958241e-01 2.774194e+02  3.461683500558138116e-01  3.606380926445126311e-01  3.826745480298995861e-01  3.985458042472601048e-01
11 100 4.399851e-01 2.706254e+02  3.461683500558138116e-01  3.559484202414751053e-01  3.682969711720943673e-01  3.973947126418352349e-01
12 109 3.729773e-01 2.677201e+02  3.461683500558138116e-01  3.496209729462861904e-01  3.578741943463683017e-01  3.869723532348871009e-01
13 118 3.335919e-01 2.679509e+02  3.461683500558138116e-01  3.511905249208212010e-01  3.579198300838470348e-01  3.787525795400142892e-01
14 127 3.778503e-01 2.638585e+02  3.459551222622394562e-01  3.459551222622394562e-01  3.532973196357488410e-01  3.806818790733814128e-01
15 136 4.213232e-01 2.634636e+02  3.440356880426406749e-01  3.440356880426406749e-01  3.594049263745546230e-01  3.672515917569398880e-01
16 145 4.649602e-01 2.636665e+02  3.440356880426406749e-01  3.452189233154058234e-01  3.563512939959764259e-01  3.756089963018894307e-01
17 154 5.149380e-01 2.708345e+02  3.418582215905189292e-01  3.418582215905189292e-01  3.503738041967153771e-01  3.770373299717902915e-01
18 163 4.729484e-01 2.695705e+02  3.418582215905189292e-01  3.425917122513055801e-01  3.481646940112114175e-01  3.695210378617048153e-01
19 172 4.451314e-01 2.538958e+02  3.413014054298401101e-01  3.413014054298401101e-01  3.475493229925632477e-01  3.716377880424260871e-01
20 181 4.056250e-01 2.507831e+02  3.373022567480802314e-01  3.373022567480802314e-01  3.483319662511348835e-01  3.788292452692985646e-01
21 190 3.864293e-01 2.520610e+02  3.373022567480802314e-01  3.390682790428399818e-01  3.428346624597907177e-01  3.575350347906350867e-01
22 199 3.620200e-01 2.463264e+02  3.373022567480802314e-01  3.422643747180700302e-01  3.506127629429102166e-01  3.578931920230388752e-01
23 208 3.529969e-01 2.467536e+02  3.359474040567874686e-01  3.359474040567874686e-01  3.424672849476337322e-01  3.567040473222732322e-01
24 217 3.158238e-01 2.459395e+02  3.359474040567874686e-01  3.416346320882439613e-01  3.439186148345470539e-01  3.539831217378378025e-01
25 226 2.920493e-01 2.494208e+02  3.359474040567874686e-01  3.384565465152263863e-01  3.430615022778510936e-01  3.540196593850851170e-01
26 235 2.664084e-01 2.459806e+02  3.353760797530412896e-01  3.353760797530412896e-01  3.404926486313343270e-01  3.456350676715373993e-01
