%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=213914, 2015/04/4 12:57:47.14)
1 10  3.688054016909273300e+01 0 0 3.287523e-01 -3.943125e-01 2.084162e-01 -1.193480e+00 1.223175e+00 -1.207769e+00 
2 19  3.980874457979717800e+01 0 0 2.837230e-01 -5.462361e-01 9.608764e-02 -1.199675e+00 1.220731e+00 -1.229934e+00 
3 28  3.945778089792521100e+01 0 0 2.261682e-01 -6.217921e-01 1.731226e-01 -1.192149e+00 1.212191e+00 -1.207001e+00 
4 37  3.526220214891045400e+01 0 0 2.614438e-01 -2.405583e-01 9.672983e-02 -1.193966e+00 1.223209e+00 -1.205845e+00 
5 46  3.829325449532528600e+01 0 0 2.275387e-01 -5.034678e-01 -4.336480e-03 -1.181965e+00 1.232460e+00 -1.231503e+00 
6 55  3.506216455526927700e+01 0 0 3.184467e-01 -4.692687e-01 -7.034150e-02 -1.212002e+00 1.224503e+00 -1.219129e+00 
7 64  3.507992052406346800e+01 0 0 2.900895e-01 -4.889964e-01 -1.842310e-01 -1.195999e+00 1.228801e+00 -1.225411e+00 
8 73  3.495125206272234700e+01 0 0 2.600266e-01 -2.888493e-01 -2.120115e-02 -1.233471e+00 1.208850e+00 -1.198505e+00 
9 82  3.371160549381626500e+01 0 0 2.649361e-01 -3.367604e-01 -1.013468e-01 -1.207410e+00 1.224172e+00 -1.218483e+00 
10 91  3.427426290463807800e+01 0 0 1.927681e-01 -3.341078e-01 -1.579446e-02 -1.209557e+00 1.225348e+00 -1.211348e+00 
11 100  3.211576417197027700e+01 0 0 2.235880e-01 -3.098586e-01 -2.544400e-01 -1.201791e+00 1.203911e+00 -1.208506e+00 
12 109  3.345896489048890000e+01 0 0 1.810637e-01 -3.561767e-01 -1.830238e-01 -1.196324e+00 1.215279e+00 -1.207809e+00 
13 118  3.244962959254480200e+01 0 0 2.207097e-01 -4.204746e-01 -1.824759e-01 -1.202206e+00 1.205717e+00 -1.203553e+00 
14 127  3.192499028790474800e+01 0 0 3.003542e-01 -4.207596e-01 -1.006069e-01 -1.217464e+00 1.199319e+00 -1.194495e+00 
15 136  3.197414703305173200e+01 0 0 2.695544e-01 -3.160061e-01 -1.633018e-01 -1.216461e+00 1.199246e+00 -1.192417e+00 
16 145  3.318312752578602700e+01 0 0 1.997496e-01 -2.814825e-01 -1.936385e-01 -1.203504e+00 1.185408e+00 -1.184033e+00 
17 154  3.414880184903431400e+01 0 0 3.030065e-01 -2.555404e-01 2.598052e-02 -1.237100e+00 1.199440e+00 -1.195263e+00 
18 163  3.100581428392390400e+01 0 0 2.457481e-01 -2.302394e-01 -6.659369e-02 -1.219163e+00 1.204265e+00 -1.194745e+00 
