0.696,-9.693,-0.107
0.692,-9.735,-0.05
7.205,6.1,-0.447
7.135,5.97,-0.484
7.171,5.962,-0.486
7.329,6.126,-0.455
0.709,-9.751,-0.05
0.711,-9.734,-0.172
-9.741,15.663,0.715
-9.797,15.743,0.631
0.087,-7.1,-0.541
0.09,-7.12,-0.499
0.065,-7.13,-0.544
0.12,-7.059,-0.583
0.279,-7.136,-0.592
0.053,-7.072,-0.585
0.132,-7.085,-0.586
9.253,-2.732,-0.343
0.325,-7.174,-0.597
0.031,-7.09,-0.587
0.009,-7.092,-0.587
0.349,-7.203,-0.6
0.155,-7.116,-0.59
-0.013,-7.108,-0.589
0.432,-6.788,-0.597
0.292,-6.769,-0.594
0.099,-7.109,-0.589
0.447,-6.853,-0.604
0.009,-7.224,-0.554
0.304,-6.783,-0.595
0.224,-7.182,-0.597
0.247,-7.191,-0.598
0.178,-7.15,-0.593
0.272,-6.802,-0.597
0.27,-7.212,-0.601
0.413,-6.827,-0.601
0.471,-6.885,-0.608
0.202,-7.189,-0.598
9.353,-2.587,-0.346
0.076,-7.126,-0.591
0.091,-6.797,-0.596
0.37,-6.829,-0.601
0.069,-6.809,-0.598
0.493,-6.895,-0.61
0.327,-6.831,-0.601
0.037,-6.811,-0.598
0.349,-6.838,-0.602
0.016,-6.821,-0.599
0.188,-6.845,-0.602
0.112,-6.817,-0.598
0.393,-6.854,-0.604
0.253,-6.853,-0.603
0.048,-6.835,-0.601
0.21,-6.854,-0.603
0.134,-6.83,-0.6
0.231,-6.865,-0.604
0.166,-6.847,-0.602
0.156,-6.851,-0.603
9.423,-2.495,-0.348
-0.006,-6.837,-0.601
-0.027,-6.853,-0.603
5.571,-3.378,0.307
5.582,-3.36,0.307
9.504,-2.766,-0.294
9.503,-2.798,-0.294
5.64,-3.383,-0.25
5.638,-3.396,-0.205
9.489,-2.481,-0.352
5.541,-3.34,0.227
9.508,-2.816,-0.295
5.658,-3.396,-0.128
5.641,-3.367,0.113
5.547,-3.368,0.227
5.626,-3.392,0.274
5.632,-3.386,0.113
9.531,-2.46,-0.354
-11.781,16.589,0.768
-11.759,16.603,0.517
5.644,-3.39,0.274
5.557,-3.398,0.227
-11.766,16.458,0.765
5.698,-3.402,0.196
9.568,-2.687,-0.296
5.679,-3.402,0.032
9.587,-2.659,-0.296
5.63,-3.408,-0.006
-11.784,16.705,0.77
9.601,-2.631,-0.296
5.58,-3.359,-0.165
-11.853,16.671,0.674
9.572,-2.439,-0.356
-10.306,17.307,0.27
5.641,-3.425,0.274
5.688,-3.408,0.196
-11.988,16.494,0.769
5.587,-3.387,-0.167
9.63,-2.622,-0.298
5.613,-3.411,0.067
5.627,-3.399,-0.089
5.631,-3.386,0.067
-11.723,17.221,0.683
5.61,-3.396,0.114
-11.849,17.312,0.785
9.626,-2.421,-0.358
-11.801,17.359,0.785
9.657,-2.597,-0.299
5.653,-3.39,-0.09
-10.316,17.448,0.271
9.645,-2.4,-0.412
5.627,-3.395,0.154
-11.78,17.422,0.687
5.635,-3.388,-0.006
5.617,-3.396,-0.203
5.64,-3.431,-0.09
5.644,-3.418,0.067
5.647,-3.432,0.032
5.649,-3.426,-0.128
5.627,-3.419,0.154
5.654,-3.387,-0.007
9.692,-2.574,-0.3
9.71,-2.546,-0.301
5.682,-3.449,-0.052
5.678,-3.435,-0.052
0.452,-6.749,-0.631
9.707,-2.425,-0.363
0.432,-6.755,-0.632
9.732,-2.519,-0.301
9.738,-2.391,-0.418
0.409,-6.742,-0.63
5.685,-3.455,0.196
-0.411,-6.956,-0.616
-0.428,-7.129,-0.592
-0.439,-7.132,-0.593
9.775,-2.409,-0.366
-0.456,-6.969,-0.618
-0.39,-6.973,-0.618
9.788,-2.501,-0.304
-0.478,-6.97,-0.618
0.686,-9.644,-0.344
0.389,-6.749,-0.631
-0.434,-6.975,-0.618
0.357,-6.761,-0.632
-0.5,-6.976,-0.619
0.314,-6.755,-0.631
0.336,-6.758,-0.631
9.821,-2.476,-0.305
0.71,-9.665,-0.283
0.261,-6.75,-0.63
-0.004,-6.812,-0.637
-0.036,-6.816,-0.638
0.38,-6.78,-0.634
0.124,-6.789,-0.634
-0.015,-6.82,-0.638
0.24,-6.766,-0.632
0.272,-6.761,-0.631
-0.512,-6.987,-0.621
0.294,-6.78,-0.634
0.177,-6.782,-0.634
0.219,-6.773,-0.633
0.081,-6.8,-0.636
0.103,-6.801,-0.636
0.135,-6.795,-0.635
0.017,-6.808,-0.637
0.156,-6.793,-0.635
-0.462,-7.127,-0.592
-0.535,-6.996,-0.622
9.856,-2.397,-0.371
9.858,-2.469,-0.307
0.039,-6.81,-0.637
0.199,-6.787,-0.634
-0.058,-6.838,-0.64
0.06,-6.804,-0.636
-12.132,16.748,0.777
-0.484,-7.125,-0.592
9.528,-2.74,-0.294
-12.049,17.37,0.79
9.922,-2.452,-0.31
9.928,-2.381,-0.374
-12.223,17.116,0.92
-12.126,17.456,0.692
9.976,-2.432,-0.312
