%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=213289, 2014/11/26 13:47:21.90)
1 10 2.094519e+00 7.447865e+02  2.212853929772972961e-01  2.212853929772972961e-01  5.511731937527656333e-01  7.475391167402267723e-01
2 19 2.124215e+00 7.295740e+02  2.212853929772972961e-01  2.717987849563360259e-01  5.619118967652321217e-01  7.839795260131359189e-01
3 28 2.146258e+00 7.244477e+02  2.212853929772972961e-01  4.074345386028289662e-01  6.247913808422163040e-01  8.037748622894287376e-01
4 37 2.277582e+00 7.322230e+02  2.212853929772972961e-01  3.921670265495776908e-01  6.084528841124847709e-01  9.097174916788935972e-01
5 46 2.483428e+00 7.347306e+02  2.212853929772972961e-01  2.582639256864786015e-01  5.629373276233673451e-01  8.489585856394842311e-01
6 55 2.536803e+00 7.434585e+02  2.212853929772972961e-01  4.603796106576919511e-01  6.263969174027442799e-01  8.647236064425669611e-01
7 64 2.926211e+00 7.373645e+02  2.212853929772972961e-01  3.092932413518428847e-01  4.519392374157905623e-01  6.455752232670783908e-01
8 73 2.829641e+00 6.767382e+02  2.212853929772972961e-01  2.935995374619960741e-01  4.829829788208007679e-01  9.404313008533791152e-01
9 82 3.089922e+00 6.493703e+02  2.212853929772972961e-01  3.354223544895649223e-01  5.588900166749953824e-01  8.366965410113335055e-01
10 91 3.086903e+00 6.459386e+02  2.212853929772972961e-01  2.892489129304885997e-01  4.893743677483871624e-01  8.772398560540750623e-01
11 100 2.949386e+00 6.491096e+02  2.212853929772972961e-01  3.695274037122726618e-01  7.243038660474121482e-01  9.128397979633882109e-01
12 109 2.733391e+00 6.381429e+02  2.212853929772972961e-01  3.329076531529426841e-01  5.799861545860767187e-01  8.361996954679489225e-01
13 118 2.642206e+00 6.175896e+02  2.212853929772972961e-01  2.785264956951141180e-01  4.507424372434616355e-01  7.873969326540827263e-01
14 127 2.440441e+00 6.212072e+02  2.212853929772972961e-01  3.550521416217088944e-01  5.126596662402153060e-01  7.403894796967506187e-01
15 136 2.321351e+00 5.867340e+02  2.212853929772972961e-01  3.138625767827034063e-01  4.461208504438400335e-01  6.784156310558319136e-01
16 145 2.277149e+00 5.677559e+02  2.212853929772972961e-01  2.950110432505607672e-01  4.972560602426528975e-01  7.665162846446037515e-01
17 154 2.039393e+00 5.769009e+02  2.212853929772972961e-01  3.806062853336334428e-01  5.132988228695467559e-01  7.342536204864882343e-01
18 163 2.019436e+00 5.195700e+02  2.212853929772972961e-01  2.970317946374416151e-01  4.857697218656539806e-01  6.782653900980949446e-01
19 172 1.810711e+00 5.211920e+02  2.212853929772972961e-01  3.100538010895252383e-01  4.183672305941581460e-01  7.340548448311164931e-01
20 181 1.796614e+00 5.255266e+02  2.212853929772972961e-01  3.112988070398569063e-01  4.368189609050750488e-01  8.364552439050748633e-01
21 190 1.536389e+00 5.260021e+02  2.212853929772972961e-01  3.335182836651802152e-01  4.807274591922759965e-01  6.966781315207480896e-01
22 199 1.379555e+00 5.349173e+02  2.212853929772972961e-01  2.739554236829280787e-01  4.042383466660976477e-01  5.908701810240745145e-01
23 208 1.158928e+00 5.376844e+02  2.212853929772972961e-01  2.734840504825115093e-01  3.929297208786010631e-01  6.200092881917953491e-01
24 217 1.171733e+00 5.383607e+02  2.212853929772972961e-01  2.459570918232202585e-01  3.220483527332544393e-01  4.741772297024726690e-01
25 226 1.214460e+00 5.179753e+02  2.212853929772972961e-01  2.547929637134075387e-01  3.103318026661872620e-01  4.668486383557319819e-01
26 235 1.271229e+00 5.097291e+02  2.212853929772972961e-01  2.458318167924881115e-01  3.424496528506278947e-01  4.456771838665008478e-01
27 244 1.246536e+00 4.996269e+02  2.212853929772972961e-01  2.348724470287561483e-01  3.032936999201774619e-01  6.156217533349991333e-01
28 253 1.206255e+00 5.002004e+02  2.212853929772972961e-01  2.252137643843889203e-01  2.845726791024207891e-01  5.454566326737403381e-01
29 262 1.087283e+00 5.176203e+02  2.212853929772972961e-01  2.868252238631248674e-01  3.321526345610618658e-01  3.714362326264381564e-01
30 271 1.174953e+00 5.302558e+02  2.212853929772972961e-01  2.397733499109745148e-01  2.794991663098335133e-01  3.762189796566963174e-01
31 280 1.133831e+00 5.210117e+02  2.212853929772972961e-01  2.356604228913783960e-01  2.918157194554805711e-01  4.003959795832633950e-01
32 289 1.029887e+00 5.156071e+02  2.212853929772972961e-01  2.296144574880600031e-01  2.660914630442857698e-01  3.353512407839298048e-01
33 298 9.307461e-01 4.983068e+02  2.173301827162504307e-01  2.173301827162504307e-01  2.714153470098972232e-01  3.499417798221111098e-01
34 307 8.615749e-01 4.784110e+02  2.155335171520710025e-01  2.155335171520710025e-01  2.478627078235149384e-01  2.913555087149143352e-01
35 316 7.993777e-01 4.704499e+02  2.155335171520710025e-01  2.247016621381044410e-01  2.496831303089857013e-01  3.532503031194210164e-01
36 325 7.717713e-01 4.707771e+02  2.155335171520710025e-01  2.269593951106071428e-01  2.713133227825164639e-01  3.189689302444457808e-01
37 334 6.381735e-01 4.675120e+02  2.150598798692226477e-01  2.150598798692226477e-01  2.499113032966852055e-01  3.027891350537538773e-01
38 343 5.789083e-01 4.548597e+02  2.150598798692226477e-01  2.214342384040355605e-01  2.379154370725155010e-01  2.954556512832641757e-01
39 352 5.300105e-01 4.529926e+02  2.150598798692226477e-01  2.170061118900775965e-01  2.309630694240331628e-01  2.743501208722591289e-01
40 361 5.117645e-01 4.556041e+02  2.150598798692226477e-01  2.152485644817352384e-01  2.294380640238523617e-01  2.567797676473855817e-01
