%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=210379, 2014/11/26 10:38:4.79)
1 10 1.873885e+00 8.384677e+02  6.049820812225341342e+02  8.473020866394042514e+02  1.038670133972168060e+03  1.503225102996826081e+03
2 19 1.880057e+00 8.037441e+02  6.049820812225341342e+02  7.245831474304198991e+02  9.607291038513183139e+02  2.073239685058593750e+03
3 28 1.976160e+00 7.472866e+02  3.731874732971191406e+02  3.731874732971191406e+02  1.001535557556152298e+03  2.117850753784179688e+03
4 37 1.953891e+00 7.489950e+02  3.731874732971191406e+02  4.554128982543945199e+02  1.023046572113037087e+03  1.698873803710937409e+03
5 46 1.809327e+00 7.254233e+02  3.629814002990722770e+02  3.629814002990722770e+02  1.044335877990722565e+03  1.775351900482177825e+03
6 55 1.818780e+00 7.267649e+02  3.629814002990722770e+02  7.206051544189452898e+02  9.677589942932129361e+02  1.460136540222167923e+03
7 64 2.011890e+00 7.599821e+02  3.629814002990722770e+02  6.449554763793945540e+02  1.224367782592773438e+03  1.924102029418945222e+03
8 73 2.263019e+00 7.889183e+02  3.629814002990722770e+02  6.756590850830077670e+02  9.939983150482178189e+02  1.821129168701171920e+03
9 82 2.352964e+00 7.644808e+02  3.629814002990722770e+02  7.773229648590088345e+02  1.121130897521972656e+03  1.454506919860839844e+03
10 91 2.100477e+00 7.194298e+02  3.629814002990722770e+02  5.114120986938476676e+02  9.292412483215332486e+02  1.542343341064453170e+03
11 100 1.941140e+00 7.208123e+02  3.629814002990722770e+02  6.704398532867431868e+02  1.060781064605712800e+03  1.255341973876953034e+03
12 109 2.133869e+00 7.881645e+02  3.629814002990722770e+02  7.065120452880859148e+02  1.413754029846191315e+03  1.791730690002441406e+03
13 118 2.088179e+00 8.115387e+02  3.629814002990722770e+02  6.432452827453613509e+02  1.446361773681640670e+03  1.830408134460449219e+03
14 127 1.919342e+00 8.106206e+02  3.629814002990722770e+02  6.663302230834960938e+02  9.038285614013672102e+02  1.869490655517578034e+03
15 136 1.881113e+00 8.380169e+02  3.629814002990722770e+02  6.456229270935058366e+02  1.032916660308837891e+03  1.302454045104980423e+03
16 145 2.148116e+00 8.185236e+02  3.629814002990722770e+02  5.914845787048340071e+02  8.307701236724853970e+02  1.622320732116699219e+03
17 154 2.359746e+00 7.387215e+02  3.629814002990722770e+02  6.979828296661377180e+02  1.069912905883789108e+03  1.820101835632324310e+03
18 163 2.219956e+00 7.227424e+02  3.629814002990722770e+02  7.909471961975098111e+02  1.028542385101318359e+03  1.588506617736816452e+03
19 172 2.264912e+00 7.331321e+02  3.629814002990722770e+02  6.026607727050781023e+02  1.025856282806396393e+03  1.707533679199218795e+03
20 181 2.215629e+00 6.893363e+02  3.629814002990722770e+02  7.939858406066894077e+02  1.031598606872558548e+03  1.610274813842773483e+03
21 190 2.358585e+00 6.878338e+02  3.629814002990722770e+02  3.986220630645751726e+02  1.061822790527343841e+03  1.688116360473632767e+03
22 199 2.070606e+00 6.508677e+02  3.629814002990722770e+02  6.334226348876952670e+02  1.151492070007324173e+03  2.093112304687500000e+03
23 208 2.017558e+00 6.794575e+02  3.629814002990722770e+02  7.940092170715331577e+02  1.012292726135253929e+03  1.569132415008544967e+03
24 217 1.823782e+00 6.915020e+02  3.629814002990722770e+02  6.543517387390136264e+02  9.103567905426025391e+02  1.775197251892089753e+03
25 226 1.854695e+00 6.962677e+02  3.629814002990722770e+02  6.905626754760742188e+02  1.103486238098144440e+03  1.826795507812500091e+03
26 235 2.258128e+00 7.338168e+02  3.629814002990722770e+02  8.023034294128417514e+02  9.953329490661620866e+02  1.733357064819335847e+03
27 244 2.562068e+00 7.119768e+02  3.629814002990722770e+02  6.759442237854003679e+02  9.149361362457275391e+02  1.046842582702636719e+03
28 253 2.331046e+00 7.026982e+02  3.629814002990722770e+02  8.195850677490234375e+02  1.074841737365722565e+03  1.298343604278564499e+03
29 262 2.417994e+00 6.783459e+02  3.629814002990722770e+02  6.559703330993652344e+02  8.410220024108887173e+02  1.693118896484375000e+03
30 271 2.221130e+00 6.854862e+02  3.629814002990722770e+02  6.435266914367675781e+02  7.407919059753418196e+02  1.022822010803222611e+03
31 280 2.238519e+00 7.576294e+02  3.629814002990722770e+02  5.705698955535888217e+02  9.999424362182617188e+02  2.114564205932617369e+03
32 289 2.213630e+00 7.615410e+02  3.629814002990722770e+02  6.315102737426757358e+02  8.529036865234375000e+02  1.630478634643554642e+03
33 298 1.931518e+00 7.580356e+02  3.629814002990722770e+02  5.598949699401855469e+02  7.996572769165038608e+02  1.942574401855468750e+03
34 307 1.708683e+00 7.549585e+02  3.572148963928222543e+02  3.572148963928222543e+02  9.843876907348633267e+02  1.100076565551757767e+03
35 316 1.516638e+00 7.519033e+02  3.572148963928222543e+02  3.905343612670898210e+02  7.947861587524414517e+02  1.051172999954223542e+03
36 325 1.577077e+00 7.298521e+02  3.572148963928222543e+02  4.743955379486084212e+02  7.248315155029297330e+02  1.047382406616211028e+03
37 334 1.601043e+00 7.025842e+02  3.572148963928222543e+02  3.661766000747680891e+02  7.576281925201416243e+02  1.009316683197021462e+03
38 343 1.688825e+00 7.003211e+02  3.572148963928222543e+02  5.320972640991210483e+02  6.743010894775391080e+02  1.185154713439941361e+03
39 352 1.625886e+00 7.087261e+02  3.572148963928222543e+02  5.123885601043700717e+02  8.156053207397460483e+02  1.277083585357665925e+03
40 361 1.663383e+00 7.020507e+02  3.572148963928222543e+02  5.479182922363281705e+02  7.789995437622070540e+02  1.276849571228027344e+03
41 370 1.515876e+00 7.012689e+02  3.572148963928222543e+02  6.338340423583983920e+02  7.761638725280761264e+02  1.285501939010620163e+03
42 379 1.464550e+00 6.853886e+02  3.572148963928222543e+02  5.751337009429931868e+02  9.280039505004882585e+02  1.114395079803466842e+03
43 388 1.558352e+00 6.928821e+02  3.572148963928222543e+02  4.623839824676513786e+02  7.041602027893065952e+02  1.038724550628662200e+03
44 397 1.530471e+00 6.500241e+02  3.572148963928222543e+02  4.533403987884521484e+02  7.715656517028808139e+02  9.659779663085937500e+02
45 406 1.424761e+00 6.534789e+02  3.572148963928222543e+02  3.578267040252685547e+02  8.493891365051269986e+02  9.845701309204101790e+02
46 415 1.419959e+00 6.428681e+02  3.572148963928222543e+02  3.758996074676513786e+02  6.619546550750732195e+02  8.622088821411132358e+02
47 424 1.322893e+00 6.231508e+02  3.461961627960205305e+02  3.461961627960205305e+02  5.013638103485107536e+02  6.790254989624023665e+02
48 433 1.289104e+00 5.845812e+02  3.461961627960205305e+02  3.638852672576904297e+02  5.999802612304687273e+02  8.999536117553710710e+02
49 442 1.539867e+00 5.397856e+02  3.461961627960205305e+02  3.727696491241455305e+02  5.323550628662109148e+02  7.222262901306152116e+02
50 451 1.552102e+00 5.317915e+02  3.461961627960205305e+02  4.356442195892333871e+02  7.059531097412109375e+02  1.005654352569580055e+03
51 460 1.465116e+00 5.231604e+02  3.461961627960205305e+02  4.685603111267089957e+02  7.175303131103515852e+02  8.305735683441162109e+02
52 469 1.423226e+00 5.273437e+02  3.461961627960205305e+02  4.165455551147460938e+02  6.968325687408447493e+02  7.743070724487304233e+02
53 478 1.349023e+00 5.177128e+02  3.454846706390380859e+02  3.454846706390380859e+02  5.118491649627685547e+02  6.520067466735839616e+02
54 487 1.245523e+00 4.963025e+02  3.454846706390380859e+02  3.776218454360961800e+02  6.010574207305908203e+02  9.236852775573730696e+02
55 496 1.194722e+00 4.693928e+02  3.303192802429199446e+02  3.303192802429199446e+02  5.505565711975098111e+02  7.967688537597656477e+02
56 505 1.052434e+00 4.536693e+02  3.182398513793945085e+02  3.182398513793945085e+02  4.518666507720947152e+02  6.605947937011718523e+02
57 514 9.390514e-01 4.437452e+02  3.182398513793945085e+02  3.219560892105102425e+02  4.216575765609741211e+02  6.120120254516601790e+02
58 523 8.612398e-01 4.421524e+02  3.182398513793945085e+02  3.288060802459716570e+02  4.791154193878173828e+02  6.845929233551025845e+02
59 532 7.907364e-01 4.175763e+02  3.182398513793945085e+02  3.198551069259643782e+02  4.307280317306518782e+02  5.996587226867675327e+02
60 541 7.517916e-01 4.002708e+02  3.182398513793945085e+02  3.182759532928466797e+02  4.060289360046386946e+02  5.337058975219727017e+02
61 550 6.767046e-01 3.944821e+02  3.182398513793945085e+02  3.243546142578125000e+02  4.052609313964843523e+02  5.245388156890869595e+02
62 559 7.175477e-01 3.812107e+02  3.182398513793945085e+02  3.192749641418457145e+02  3.604622533798217887e+02  4.830824163436889762e+02
63 568 7.909619e-01 3.707841e+02  3.182398513793945085e+02  3.391838230133056413e+02  4.039993049621581918e+02  5.496495372772217252e+02
64 577 8.521432e-01 3.428349e+02  3.182398513793945085e+02  3.285429285049438590e+02  3.453965446472167855e+02  5.263464649200438998e+02
65 586 7.528407e-01 3.403292e+02  3.127870006561279297e+02  3.127870006561279297e+02  3.483105878829956055e+02  5.413543079376220248e+02
66 595 6.521806e-01 3.415910e+02  3.127870006561279297e+02  3.314006355285644645e+02  3.738943115234375227e+02  5.089042160034179574e+02
67 604 6.249684e-01 3.394295e+02  3.127870006561279297e+02  3.170204027175903434e+02  3.414886600494384652e+02  4.200288280487060320e+02
68 613 5.164189e-01 3.400846e+02  3.127870006561279297e+02  3.166709266662597884e+02  3.688460041046142805e+02  4.996051353454589616e+02
69 622 4.726100e-01 3.367812e+02  3.023724582672119254e+02  3.023724582672119254e+02  3.463922508239746207e+02  4.615900480270385629e+02
70 631 4.504623e-01 3.206457e+02  3.023724582672119254e+02  3.186769468307495004e+02  3.377033130645751839e+02  3.915284893035888558e+02
71 640 4.248790e-01 3.106273e+02  2.992113199234008789e+02  2.992113199234008789e+02  3.180999719619750863e+02  3.776949113845824968e+02
72 649 3.575012e-01 3.087302e+02  2.992113199234008789e+02  3.013599630355835188e+02  3.187212186813354720e+02  3.450338722229004134e+02
73 658 3.071509e-01 2.932880e+02  2.992113199234008789e+02  3.021296442031860465e+02  3.187575826644897461e+02  3.435990880966186296e+02
74 667 3.091737e-01 2.557850e+02  2.980396024703979379e+02  2.980396024703979379e+02  3.124961250305175895e+02  3.443021219253540153e+02
75 676 3.344467e-01 2.286028e+02  2.938749147415161360e+02  2.938749147415161360e+02  3.185700895309448129e+02  3.306420169830322493e+02
76 685 3.405467e-01 2.157761e+02  2.938749147415161360e+02  3.037912630081176530e+02  3.184659860610962028e+02  3.582854761123656999e+02
77 694 3.510768e-01 2.031442e+02  2.938749147415161360e+02  2.961814147949218636e+02  3.164780239105224382e+02  3.457021545410156023e+02
78 703 3.423341e-01 2.013750e+02  2.938749147415161360e+02  3.025504856109619141e+02  3.254835706710815657e+02  3.596239458084106673e+02
79 712 3.189616e-01 1.969200e+02  2.938749147415161360e+02  2.975786172866821175e+02  3.180527727127075082e+02  3.575323390960693359e+02
80 721 2.948031e-01 1.962176e+02  2.938749147415161360e+02  3.020864162445068359e+02  3.222558160781860579e+02  3.385557357788085824e+02
81 730 2.583804e-01 1.935886e+02  2.938485540390014421e+02  2.938485540390014421e+02  3.125380182266235352e+02  3.265374011993408203e+02
82 739 2.400392e-01 1.880765e+02  2.938485540390014421e+02  3.131608360290527457e+02  3.197349872589111328e+02  3.305438770294189226e+02
